Bhp,Gas
300,0
675,2328.1
2803,4720.3
2545,5143.1
2350,4865.3
2230,95.4
2291.54,4103.62
1899.93,4591.91
2075.93,3764.5
1871.16,4267.25
1766.03,4236.23
1725.67,4029.57
297.17,3286.67
1714.19,3749.99
1680.46,3778.59
1659.97,3683.15
1637.48,3595.1
1621.08,3518.64
1606.77,3450.1
1597.21,3395.38
1870.3,3217.85
1578.44,3357.97
1569.17,3294.1
1554.94,3262.86
1540.67,3228.79
1540.14,3193
1540.14,3151.78
1517.98,3122.63
1510.75,3087.65
1501.64,3066.59
1497.41,3043.78
1487.94,3013.4
1481.35,3000.48
1471.77,2979.14
1465.77,2959.4
1458.61,2943.12
1462.12,2899.39
1454.22,2910.31
1441.86,2889.48
1435.69,2877.38
1432.11,2856.29
1430.1,2844.95
1435.75,2831.45
1417.55,2849.84
1408.32,2862.6
1403.77,2856.17
1401.49,2834.51
1393.7,2841.48
1403.67,2900.88
1392.96,2819.86
1393.62,2772.01
1388.01,2782.19
1384.03,2769.93
1378.04,2761.01
1371.22,2756.38
1369.57,2747.76
1364.56,2708.42
1428.09,2682.33
1363.64,2718.76
1354.13,2716.58
1350.68,2699.07
1340.35,2707.16
1336.85,2691.9
1333.8,2666.75
1329.15,2665.72
1332.17,2647.04
1325.23,2640.28
1323.36,2632.45
1321.07,2624.9
1318.51,2618.81
1317.43,2607.67
1310.99,2603.04
1311.66,2597.55
1304.27,2592.12
1302.92,2581.19
1297.89,2575.01
1294.14,2569.56
1296.05,2574.15
1290.71,2558.64
1284.43,2559.03
1284.11,2543.9
1284.12,2537.54
1277.43,2540.35
1275.8,2534.35
1273.23,2523.41
1265.87,2527.69
1270.85,2510.11
1264.23,2507.05
1264.07,2506.08
1256.01,2513.7
1252.19,2495.84
1257.2,2479.97
1255.41,2472.59
1402.1,2192.47
1450.48,1855.4
1381.91,2530.97
1280.48,2472.89
1268.44,2460.87
1268.32,2390.39
1264.01,2475.12
1259.97,2477.95
1258.23,2452.55
1466.14,2299.08
731.93,2469.66
1129.78,2903.18
1057.9,2942.03
1285.21,2421.64
1257.83,2580.77
1350.25,2247.01
1034.29,2566.56
1239.5,2811.88
1139.59,2798.07
1051.57,2802.39
1122.92,2708.57
1067.83,2758.79
1108.64,2660.94
1013.96,2688.67
1027.91,2612.84
1116.13,2653.35
1134.92,2558.69
1053.99,2274.07
1024.69,2558.75
975.27,2566.99
987.4,2490.66
1070.07,2555.68
1156.18,2649.35
991.59,2684.71
1104.64,2666.9
1053.1,2681.76
922.58,2885.6
920.9,2809.81
958.5,2747.94
936.52,2780.57
904.25,2583.48
903.39,2707.8
926.81,2720.03
874.2,2763.97
874.2,2671.74
911.41,2520.45
1037.4,2648.59
962.58,2745.78
926.46,2696.36
925.81,2593.02
926.95,2650.83
888.36,2656.35
920.63,2668.67
937.59,2613.46
887.86,2690.43
868.14,2666.06
871.88,2580.68
890.45,2604.9
864.37,2518.32
914.55,2582.54
912.93,2536.47
999.41,2263.34
925.09,2573.76
921.25,2436.25
995.51,2410.85
901.5,2392.19
965.5,2435.16
982.58,2099.71
992.8,2561.4
899.16,1969.62
928.53,2497.54
928.53,2482.59
992.22,2254.99
889.08,2462.79
891.84,2438.01
893.59,2510.07
865.37,2499.95
869.03,2449.34
1010.07,2417.72
922.77,2310.28
300,2327.51
300,2438.43
300,2325.6
887.52,2443.57
931.03,2343.81
895.64,2414.93
910.25,2376.78
857.36,2409.62
857.36,2353.18
898.23,2347.82
898.23,2349.96
957.31,2341.26
876.78,2338.52
924.81,2295.93
911.55,2332.95
891.22,2283.26
899.11,2223.96
886.86,2275.02
865.49,2325.95
999.06,1949.43
867.2,2409.57
862.7,2324.52
822.78,2324.52
851.55,2387.74
871.52,2026.76
921.2,2260.59
844.72,1870.73
844.72,1870.73
873.87,2068.73
300,1870.72
855.43,2068.73
870.94,2240.65
863.25,2221.93
864.09,2170.76
958.08,2182.76
809.28,2246.61
833.09,2229.17
862.33,2182.33
861.26,2248.05
907.19,2193.73
853.81,2193.73
849.22,2147.7
829.47,2115.97
827.51,2166.5
861.56,2166.5
868.8,2136.58
857.37,2136.58
1002.89,2119.49
877.17,2119.49
860.17,2104.35
894.25,2124.06
848.97,2089.43
819.23,1944.92
857.99,2140.2
850.01,2052.94
847.17,2057.99
831.74,2022.53
867.91,2022.53
882.83,2023.71
874.36,2077.96
941.78,2000.27
840.43,2000.27
840.67,2043.88
874.83,2021.34
853.97,2070.29
849.66,2043.62
849.39,2047.85
853.1,2049.43
827.62,2052.1
843.8,2033.2
887.24,2017.89
869.65,1920.04
911.5,2028.43
892.71,1930.02
886.79,2024.43
826.1,2022.83
818.06,2022.47
860.84,2011.76
865.39,1961.11
838.78,1995.74
818.65,2013.63
855.28,1976.81
837.4,1735.28
887.27,2076.31
842.27,2056.56
884.54,1987.09
827.25,2025.67
830.55,2020.01
898.29,1992.14
880.71,2072.42
817.04,2066.2
871.36,1984.72
813.63,2017.57
793.43,2032.01
875.18,1990.49
858.04,2047.55
825.27,1938.29
845.88,2033.44
790.44,1979.07
885.96,1897.01
